Country,Code,Title,Order,transType,transPer,chartLine,BOP_Adj,VertLine1,VertLine2,y1,y2,Freq,Table,Include
EUR,EUR_BUS_CONF_OBAL_SA,Production: Bus Conf,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_EC_ECON_SENT_INDEX_SA,Production: Econ Sentiment,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_IP_EX_CONS_SA,Production: IP,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_CU_MANU_SA,Production: Cap Util,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_NO_MANU_INDEX_SA,Production: New Orders,2,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_BUS_CONF_RETAIL_OBAL_SA,Production: Bus Conf Retail,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_BUS_CONF_SERV_OBAL_SA,Production: Bus Conf Services,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_BUS_CONF_SENTIX_OBAL_NSA,Production: Bus Conf Sentiment,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_BUS_CONF_CLIMATE_OBAL_SA,Production: Bus Conf Overall Climate,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_PMI_CONSTRUCTION_IHS_SA,Production: PMI Construc,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_PMI_MANU_IHS_SA,Production: PMI Manu,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_PMI_SERVICES_IHS_SA,Production: PMI Serv,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_PMI_IHS_SA,Production: PMI Comp,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_ULC_INDEX_SA,Employment: ULC,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_WAGES_INDEX_SA,Employment: Wages,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_HOUS_HPI_NOM_INDEX_SA,Housing: Home Prices,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_HH_CREDIT_TOTAL_EUR_NSA,Credit: Total HH Credit (6m Ann),4,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_HH_CREDIT_CONS_EUR_NSA,Credit: Consumer Credit (6m Ann),4,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_HH_CREDIT_MORT_EUR_NSA,Credit: Mortgage Credit (6m Ann),4,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_CPI_INDEX_SA,Inflation: Headline (6m Ann),5,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

EUR,EUR_CPI_CORE_X_FOOD_ENERGY_HICP_SA,Inflation: Core CPI (6m Ann),5,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_CONS_CONF_INDEX_NSA,Demand: Cons Conf,1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_RSALES_NOM_VAL_SA,Demand: Nom RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_RSALES_NOM_INDEX_SA,Demand: Real RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_IP_EX_CONS_SA,Production: IP x Const,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_CU_TOTAL_SA,Production: Cap Util,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BUS_CONF_INDUS_OBAL_SA,Production: Bus Conf Industrial,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BUS_CONF_RETAIL_OBAL_SA,Production: Bus Conf Retail,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BUS_CONF_SERVICES_OBAL_SA,Production: Bus Conf Services,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BUS_CONF_CONST_OBAL_SA,Production: Bus Conf Const,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_PMI_MANU_IHS_SA,Production: PMI Manu,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_PMI_SERVICES_IHS_SA,Production: PMI Services,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_PMI_IHS_SA,Production: PMI Comp,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_ULC_EARLY_EST_INDEX_SA,Employment: ULC,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BP_RES_LOC_SA,Housing: Building Permits,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_BS_RES_UNITS_SA,Housing: Building Starts,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_WAGES_LOC_SA,Employment: Wages,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_RSALES_REAL_SA,Employment: Wages,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

ESP,ESP_HOUS_HPI_NOM_INDEX_SA,Housing: Home Prices,5,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_CONS_CONF_PER_NSA,Demand: Cons Conf,1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_RSALES_NOM_INC_AUTO_LOC_SA,Demand: Nom RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_RSALES_REAL_SA,Demand: Real RS,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BUS_CONF_NSA,Production: Bus Conf,2,perChg,12,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BUS_CONF_INDEX_NSA,Production: Bus Conf,2,perChg,12,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_IP_MINING_SA,Production: IP Mining,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_IP_MANU_SA,Production: IP Manu,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_IP_CONS_SA,Production: IP Construc,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_CU_MANU_SA,Production: Cap Util,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_CONSTRU_LOC_SA,Production: Construction,2,perChg,12,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_PMI_SA,Production: PMI Comp,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_EMPL_LEVEL_NSA,Employment: Payrolls,3,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_ULC_INDEX_SA,Employment: ULC,3,perChg,4,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_URATE_SA,Employment: UE,3,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_WAGES_INDEX_NSA,Employment: Wages,3,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BP_UNITS_SA,Housing: Building Permits (Units),4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BP_INDEX_SA,Housing: Building Permits (Index),4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BP_RES_LOC_SA,Housing: Building Plans Resi,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_BP_NONRES_LOC_SA,Housing: Building Plans NonResi,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_HOUS_HPI_NOM_INDEX_SA,Housing: Home Prices,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_HH_CREDIT_TOTAL_LOC_NSA,Credit: Total HH Credit (6m Ann),5,lvlChg,12,ave,1,nl,nl,nlim,nlim,m,growth,1

SAF,SAF_HH_CREDIT_MORT_FLOW_LOC_NSA,Credit: Mortgage Credit (6m Ann),5,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_RSALES_NOM_INC_AUTO_LOC_SA,Demand: Nom RS Inc Auto,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_RSALES_NOM_EX_AUTO_INDEX_SA,Demand: Nom RS X Auto,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_RSALES_REAL_INC_AUTOS_SA,Demand: Real RS Inc Auto,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BUS_CONF_SA,Production: Bus Conf,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BUS_CONF_INDUS_OBAL_SA,Production: Bus Conf Industrial,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BUS_CONF_RETAIL_OBAL_SA,Production: Bus Conf Retail,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BUS_CONF_SERVICES_OBAL_SA,Production: Bus Conf Services,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_IP_EX_CONS_SA,Production: IP x Const,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_IP_MINING_SA,Production: IP Mining,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_IP_MANU_SA,Production: IP Manu,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_IP_CONS_SA,Production: IP Construc,2,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_NO_TOTAL_INDEX_SA,Production: New Orders,2,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_NO_TOTAL_DOMESTIC_INDEX_SA,Production: New Orders Domestic,2,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_PMI_MANU_IHS_SA,Production: PMI Manu,2,nt,nt,50,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_ULC_INDEX_SA,Employment: ULC,3,perChg,2,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_WAGES_AVG_MONTHLY_LOC_SA,Employment: Wages,3,perChg,2,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_WAGES_HOURLY_MANU_AVG_MONTHLY_INDEX_SA,Employment: Wages Manu,3,perChg,2,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BP_UNITS_SA,Housing: Building Permits (Units),4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_BS_RES_UNITS_SA,Housing: Building Plans Resi,4,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_HH_CREDIT_TOTAL_LOC_NSA,Credit: Total HH Credit (6m Ann),4,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_HH_CREDIT_MORT_LOC_NSA,Credit: Mortgage Credit (6m Ann),5,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_HH_CREDIT_CONS_LOC_NSA,Credit: Consumer Credit (6m Ann),5,lvlChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_HOUS_HPI_NOM_INDEX_SA,Housing: Home Prices,5,lvlChg,2,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_CPI_INDEX_SA,Inflation: HL CPI,7,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

CZE,CZE_CPI_CORE_SA,Inflation: Core CPI,7,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,1

IDN,IDN_AUTO_SALES_UNITS_SA,Demand: Auto Sales,1,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_BUS_CONF_ACTIVITY_CUR_NSA,Production: Bus Conf,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_BUS_CONF_ACTIVITY_EXPECTED_NSA,Production: Bus Conf Exp,2,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_CONS_CONF_INDEX_NSA,Demand: Cons Conf,1,nt,nt,ave,1,nl,nl,nlim,nlim,m,growth,0

IDN,IDN_CPI_INDEX_SA,Inflation: HL CPI,4,perChg,6,ave,1,nl,nl,nlim,nlim,m,growth,0

