				
	VALUE	(多项)		
				
	平均值项:VALUE	列标签		
	行标签	"Government of Canada benchmark bond yields, 5 year"	Overnight money market financing	总计
	2007/7/1	4.612380952	4.445485714	4.528933333
	2007/8/1	4.385909091	4.457322727	4.421615909
	2007/9/1	4.270526316	4.444547368	4.357536842
	2007/10/1	4.276363636	4.507531818	4.391947727
	2007/11/1	3.961904762	4.505409524	4.233657143
	2007/12/1	3.865263158	4.275047368	4.070155263
	2008/1/1	3.546363636	4.159622727	3.852993182
	2008/2/1	3.399	4.00076	3.69988
	2008/3/1	2.952	3.510385	3.2311925
	2008/4/1	3.112727273	3.336627273	3.224677273
	2008/5/1	3.194761905	2.999590476	3.09717619
	2008/6/1	3.427619048	2.995038095	3.211328571
	2008/7/1	3.379545455	2.998536364	3.189040909
	2008/8/1	3.1035	2.999715	3.0516075
	2008/9/1	3.022380952	2.993971429	3.00817619
	2008/10/1	2.860454545	2.515290909	2.687872727
	2008/11/1	2.651052632	2.245647368	2.44835
	2008/12/1	2.006666667	1.711038095	1.858852381
	2009/1/1	1.796190476	1.283395238	1.539792857
	2009/2/1	2.044736842	0.9979	1.521318421
	2009/3/1	1.846363636	0.515395455	1.180879545
	2009/4/1	1.894285714	0.399857143	1.147071429
	2009/5/1	2.1945	0.24216	1.21833
	2009/6/1	2.590454545	0.244122727	1.417288636
	2009/7/1	2.529090909	0.241186364	1.385138636
	2009/8/1	2.6075	0.23976	1.42363
	2009/9/1	2.596190476	0.239480952	1.417835714
	2009/10/1	2.705714286	0.241333333	1.47352381
	2009/11/1	2.591	0.242805	1.4169025
	2009/12/1	2.575714286	0.243090476	1.409402381
	2010/1/1	2.6	0.244385	1.4221925
	2010/2/1	2.498421053	0.244294737	1.371357895
	2010/3/1	2.773913043	0.24453913	1.509226087
	2010/4/1	3.071904762	0.247280952	1.659592857
	2010/5/1	2.76	0.2457	1.50285
	2010/6/1	2.599545455	0.491890909	1.545718182
	2010/7/1	2.425238095	0.600385714	1.512811905
	2010/8/1	2.17047619	0.748733333	1.459604762
	2010/9/1	2.157142857	0.951171429	1.554157143
	2010/10/1	1.955	0.998505	1.4767525
	2010/11/1	2.256190476	0.998661905	1.62742619
	2010/12/1	2.45047619	0.997171429	1.72382381
	2011/1/1	2.5315	0.99239	1.761945
	2011/2/1	2.697368421	0.993605263	1.845486842
	2011/3/1	2.644782609	0.994143478	1.819463043
	2011/4/1	2.7255	0.99646	1.86098
	2011/5/1	2.474285714	0.996533333	1.735409524
	2011/6/1	2.205909091	0.997581818	1.601745455
	2011/7/1	2.198	0.998455	1.5982275
	2011/8/1	1.578636364	1.000268182	1.289452273
	2011/9/1	1.43047619	0.998304762	1.214390476
	2011/10/1	1.5335	1.00045	1.266975
	2011/11/1	1.394285714	0.999838095	1.197061905
	2011/12/1	1.281	0.99917	1.140085
	2012/1/1	1.308095238	0.998461905	1.153278571
	2012/2/1	1.4015	0.998625	1.2000625
	2012/3/1	1.571818182	0.999690909	1.285754545
	2012/4/1	1.6065	1.00601	1.306255
	2012/5/1	1.439545455	1.000818182	1.220181818
	2012/6/1	1.230952381	1.000804762	1.115878571
	2012/7/1	1.197619048	0.999066667	1.098342857
	2012/8/1	1.399090909	1.0021	1.200595455
	2012/9/1	1.385263158	1.000684211	1.192973684
	2012/10/1	1.36	1.001154545	1.180577273
	2012/11/1	1.319047619	1.000061905	1.159554762
	2012/12/1	1.337368421	1.000363158	1.168865789
	2013/1/1	1.465	1.001895455	1.233447727
