list of data alert,,,,,,,,,
,,,,,,,,,
item,bloomberg/haver ticker,,,,,,,,
,,,,,,,,,
slovakia unemployment rate,SLUER Index,,,,,,,,
,,,,,,,,,
swiss gold export to china,CHNIGCNE@ALPMED,,,,,,,,
,,,,,,,,,
DB siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
China agg financing,CNLNNEW Index,,,,,,,,
,,,,,,,,,
new yuan loan,CNMS1YOY Index,,,,,,,,
,,,,,,,,,
M1,CNLNASF Index,,,,,,,,
,,,,,,,,,
Poland industrial production,POISCMOM Index,,,,,,,,
,,,,,,,,,
Taiwan export orders,TWEOTTLY Index,,,,,,,,
,,,,,,,,,
German consumer confidence,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
Turkey consumer confidence,TUCDCONS Index,,,,,,,,
,,,,,,,,,
Australia employment change,AULFEMPC Index,,,,,,,,
,,,,,,,,,
unemployment rate,AULFUNEM Index,,,,,,,,
senior loan officer,BOCLOVER Index,,,,,,,,
,,,,,,,,,
USA survey of professional forecaster LT inflation,,,,,,,,,
,,,,,,,,,
Philadelphia Survey of Professional Forecasters 10y CPI Projection,PHFFCPI1 Index,,,,,,,,
,,,,,,,,,
USA uni michigan confidence,CONSSENT Index,,,,,,,,
,,,,,,,,,
current conditions,CONSCURR Index,,,,,,,,
,,,,,,,,,
USA industrial production,IP YOY Index,,,,,,,,
,,,,,,,,,
USA retail sales,RSTAABG% Index,,,,,,,,
,,,,,,,,,
headline,RSTAMOM Index,,,,,,,,
,,,,,,,,,
Czech CPI,CZCPYOY Index,,,,,,,,
,,,,,,,,,
Monetary policy relevant inflation,CZCIMPY Index,,,,,,,,
,,,,,,,,,
Turkey inflation expectation,TUES01EU Index,,,,,,,,
,,,,,,,,,
EA employment,EMEMULQQ Index,,,,,,,,
,,,,,,,,,
EA trade balance,XTSBEZ Index,,,,,,,,
,,,,,,,,,
Poland CPI,POCPIYOY Index,,,,,,,,
,,,,,,,,,
Poland GDP,POGDQOQ Index,,,,,,,,
,,,,,,,,,
Slovakia GDP,SKGDLYOY Index,,,,,,,,
,,,,,,,,,
Slovakia industrial orders,SLIOINYY Index,,,,,,,,
,,,,,,,,,
Slovakia CPI,SLCPLYOY Index,,,,,,,,
,,,,,,,,,
Hungary GDP,HUGSTQ Index,,,,,,,,
,,,,,,,,,
Czech GDP,CZGDPSAQ Index,,,,,,,,
,,,,,,,,,
Turkey current account,TUCALNEW Index,,,,,,,,
,,,,,,,,,
Turkey home sales,TRHSYY Index,,,,,,,,
,,,,,,,,,
Finland monthly gdp,FIGPNIY Index,,,,,,,,
,,,,,,,,,
USA bloomberg consumer confidence,COMFCOMF Index,,,,,,,,
,,,,,,,,,
USA CPI ex food energy,CPUPXCHG Index,,,,,,,,
,,,,,,,,,
yoy,CPI XYOY Index,,,,,,,,
,,,,,,,,,
CPI SA mom,CPI CHNG Index,,,,,,,,
,,,,,,,,,
super core ex food energy and shelter,CPUPNFES Index,,,,,,,,
,,,,,,,,,
food,CPRFFOOD Index,,,,,,,,
,,,,,,,,,
energy,CPRPENER Index,,,,,,,,
,,,,,,,,,
gasoline,CPRTGAS Index,,,,,,,,
,,,,,,,,,
core commodities,CPRPCXFE Index,,,,,,,,
,,,,,,,,,
USA initial claims,INJCJC Index,,,,,,,,
,,,,,,,,,
4 weeks moving average,INJCJC4 Index,,,,,,,,
,,,,,,,,,
Ireland property prices,IHPIRPPY Index,,,,,,,,
,,,,,,,,,
hungary CPI,HUCPIYY Index,,,,,,,,
,,,,,,,,,
Turkey IP,TUIOWDYY Index,,,,,,,,
,,,,,,,,,
Australia consumer inflation,MECCTRIM Index,,,,,,,,
,,,,,,,,,
UK RICS,UKRXPBAL Index,,,,,,,,
,,,,,,,,,
India IP,INPIINDY Index,,,,,,,,
,,,,,,,,,
India CPI,INFUTOTY Index,,,,,,,,
,,,,,,,,,
Brazil retail sales,BZRTRYOY Index,,,,,,,,
,,,,,,,,,
South africa retail sales,SARSCONY Index,,,,,,,,
,,,,,,,,,
EA IP,EUIPEMUY Index,,,,,,,,
,,,,,,,,,
Brazil consumer confidence,BZFGCCSA Index,,,,,,,,
,,,,,,,,,
Ireland HICP,IECPEUIY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Australia,,,,,,,,,
,,,,,,,,,
Australia job advertise,AULFANTC Index,,,,,,,,
,,,,,,,,,
Australia building approval,AUBAY Index,,,,,,,,
,,,,,,,,,
Australia consumer confidence,WMCCCONS Index,,,,,,,,
,,,,,,,,,
Australia corelogic house prices,RPAUMED Index,,,,,,,,
,,,,,,,,,
Australia GDP,AUNAGDPY Index,,,,,,,,
,,,,,,,,,
Australia house price,AURHQOQ Index,,,,,,,,
,,,,,,,,,
Australia job vacancy,AUEMCHGE Index,,,,,,,,
,,,,,,,,,
NAB business confidence,NABSCONF Index,,,,,,,,
,,,,,,,,,
trade balance,AUITGSB Index,,,,,,,,
,,,,,,,,,
manu pmi,MPMIATMA Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Bank de france business confidence,FRBSI Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Brazil,,,,,,,,,
,,,,,,,,,
Brazil budget balance increase,BZBGPRIM Index,,,,,,,,
,,,,,,,,,
composite pmi,MPMIBRCA Index ,,,,,,,,
,,,,,,,,,
consumer confidence,BZFGCCSA Index,,,,,,,,
,,,,,,,,,
CPI FGV,IBREGPMY Index,,,,,,,,
,,,,,,,,,
CPI IPCA,BZPIIPCY Index,,,,,,,,
,,,,,,,,,
GDP,BZGDQOQ% Index,,,,,,,,
,,,,,,,,,
IP,BZIPYOY% Index,,,,,,,,
,,,,,,,,,
manu PMI,MPMIBRMA Index ,,,,,,,,
,,,,,,,,,
Net debt %gdp,BZDPNDT% Index,,,,,,,,
,,,,,,,,,
retail sales,BZRTRYOY Index,,,,,,,,
,,,,,,,,,
service pmi,MPMIBRSA Index ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Canada,,,,,,,,,
,,,,,,,,,
CPI,CACPIYOY Index,,,,,,,,
,,,,,,,,,
employment,CANLNETJ Index,,,,,,,,
,,,,,,,,,
full time employment,CANLFLNC Index,,,,,,,,
,,,,,,,,,
part time employment,CANLPTNC Index,,,,,,,,
,,,,,,,,,
