Read,Visible,id,Ticker,Load_Fn,FunctionArgs,Location,Country,Concept,Name,sub1,sub2,sub3,sub4,sub5,seas,Version,Description,Freq
TRUE,FALSE,s_77,USA_PMI_PFED_MANU_UNFILLED_ORDERS_EXP6M_1_SA,haver,BOFUOX@SURVEYS,,USA,PMI,PMI,PFED,MANU,UNFILLED,ORDERS,EXP6M,SA,,,M

TRUE,FALSE,s_78,USA_PMI_PFED_MANU_DELIV_EXP6M_1_SA,haver,BOFDTX@SURVEYS,,USA,PMI,PMI,PFED,MANU,DELIV,,EXP6M,SA,,,M

TRUE,FALSE,s_79,USA_PMI_PFED_MANU_INV_EXP6M_1_SA,haver,BOFIVX@SURVEYS,,USA,PMI,PMI,PFED,MANU,INV,,EXP6M,SA,,,M

TRUE,FALSE,s_80,USA_PMI_PFED_MANU_PRICES_PAID_EXP6M_1_SA,haver,BOFPPX@SURVEYS,,USA,PMI,PMI,PFED,MANU,PRICES,PAID,EXP6M,SA,,,M

TRUE,FALSE,s_81,USA_PMI_PFED_MANU_PRICES_REC_EXP6M_1_SA,haver,BOFPRX@SURVEYS,,USA,PMI,PMI,PFED,MANU,PRICES,REC,EXP6M,SA,,,M

TRUE,FALSE,s_82,USA_PMI_PFED_MANU_EMPL_EXP6M_1_SA,haver,BOFNEX@SURVEYS,,USA,PMI,PMI,PFED,MANU,EMPL,,EXP6M,SA,,,M

TRUE,FALSE,s_83,USA_PMI_PFED_MANU_EMPLWK_EXP6M_1_SA,haver,BOFAWX@SURVEYS,,USA,PMI,PMI,PFED,MANU,EMPLWK,,EXP6M,SA,,,M

TRUE,FALSE,s_84,USA_PMI_PFED_MANU_CAPEX_EXP6M_1_SA,haver,BOFCEX@SURVEYS,,USA,PMI,PMI,PFED,MANU,CAPEX,,EXP6M,SA,,,M

TRUE,FALSE,s_85,USA_PMI_RFED_MANU_COMP_CUR_1_SA,haver,RIMCX@SURVEYS,,USA,PMI,PMI,RFED,MANU,COMP,,CUR,SA,,,M

TRUE,FALSE,s_86,USA_PMI_RFED_MANU_SHIP_CUR_1_SA,haver,RIMSX@SURVEYS,,USA,PMI,PMI,RFED,MANU,SHIP,,CUR,SA,,,M

TRUE,FALSE,s_87,USA_PMI_RFED_MANU_NO_CUR_1_SA,haver,RIMNX@SURVEYS,,USA,PMI,PMI,RFED,MANU,NO,,CUR,SA,,,M

TRUE,FALSE,s_88,USA_PMI_RFED_MANU_BACKLOG_CUR_1_SA,haver,RIMBX@SURVEYS,,USA,PMI,PMI,RFED,MANU,BACKLOG,,CUR,SA,,,M

TRUE,FALSE,s_89,USA_PMI_RFED_MANU_CU_CUR_1_SA,haver,RIMUX@SURVEYS,,USA,PMI,PMI,RFED,MANU,CU,,CUR,SA,,,M

TRUE,FALSE,s_90,USA_PMI_RFED_MANU_VENDLEAD_CUR_1_SA,haver,RIMVX@SURVEYS,,USA,PMI,PMI,RFED,MANU,VENDLEAD,,CUR,SA,,,M

TRUE,FALSE,s_91,USA_PMI_RFED_MANU_LOCAL_BCOND_CUR_1_SA,haver,RILBC@SURVEYS,,USA,PMI,PMI,RFED,MANU,LOCAL,BCOND,CUR,SA,,,M

TRUE,FALSE,s_92,USA_PMI_RFED_MANU_CAPEX_CUR_1_SA,haver,RICX@SURVEYS,,USA,PMI,PMI,RFED,MANU,CAPEX,,CUR,SA,,,M

TRUE,FALSE,s_93,USA_PMI_RFED_MANU_INV_FIN_CUR_1_SA,haver,RIIGDS@SURVEYS,,USA,PMI,PMI,RFED,MANU,INV,FIN,CUR,SA,,,M

TRUE,FALSE,s_94,USA_PMI_RFED_MANU_INV_RAW_CUR_1_SA,haver,RIIMAT@SURVEYS,,USA,PMI,PMI,RFED,MANU,INV,RAW,CUR,SA,,,M

