Read,Visible,id,Ticker,Function,series1,series2,func_args,series1_start_date,series1_end_date,series1_factor,series1_shift,series2_start_date,series2_end_date,series2_factor,series2_shift
TRUE,TRUE,t_14941,MAL_AUTO_SALES_PASSENGER_UNITS_SA,name,MAL_AUTO_SALES_PASSENGER_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14942,MAL_AUTO_SALES_MIL_LOC_NSA,name,MAL_AUTO_SALES_MIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14963,POL_RSALES_NOM_INDEX_NSA,name,POL_RSALES_NOM_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14964,POL_AUTO_SALES_PLUS_PARTS_INDEX_NSA,name,POL_AUTO_SALES_PLUS_PARTS_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14965,POL_RSALES_NOM_FUEL_INDEX_NSA,name,POL_RSALES_NOM_FUEL_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14966,ROM_RSALES_REAL_EX_FUEL_INDEX_SA,name,ROM_RSALES_REAL_EX_FUEL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14967,ROM_RSALES_NOM_EX_FUEL_INDEX_SA,name,ROM_RSALES_NOM_EX_FUEL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14968,ROM_RSALES_NOM_FUEL_INDEX_SA,name,ROM_RSALES_NOM_FUEL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14969,RUS_RSALES_NOM_BIL_LOC_NSA,name,RUS_RSALES_NOM_BIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14970,RUS_RSALES_NOM_BIL_LOC_SA,name,RUS_RSALES_NOM_BIL_LOC_1_SA,,,,,,,,,,

TRUE,FALSE,t_14971,RUS_AUTO_SALES_PASSENGER_UNITS_NSA,name,RUS_AUTO_SALES_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14972,RUS_AUTO_SALES_PASSENGER_UNITS_SA,seasonaladjustx13,RUS_AUTO_SALES_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14972,COL_RSALES_NOM_EX_AUTO_FUELS_INDEX_SA,name,COL_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14973,MEX_AUTO_SALES_UNITS_SA,name,MEX_AUTO_SALES_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14974,PER_RSALES_NOM_THOUS_LOC_NSA,name,PER_RSALES_NOM_THOUS_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14975,ISE_RSALES_NOM_EX_FUEL_INDEX_SA,name,ISE_RSALES_NOM_EX_FUEL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14976,SAF_AUTO_SALES_INDEX_SA,name,SAF_AUTO_SALES_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14977,SAF_AUTO_SALES_PASSENGER_INDEX_SA,name,SAF_AUTO_SALES_PASSENGER_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14978,SAF_AUTO_SALES_COMMERCIAL_INDEX_SA,name,SAF_AUTO_SALES_COMMERCIAL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14979,SAF_AUTO_SALES_DOMESTIC_UNITS_NSA,name,SAF_AUTO_SALES_DOMESTIC_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14980,SAF_AUTO_SALES_DOMESTIC_PASSENGER_UNITS_NSA,name,SAF_AUTO_SALES_DOMESTIC_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14981,SAF_AUTO_SALES_DOMESTIC_PASSENGER_UNITS_SA,seasonaladjustx13,SAF_AUTO_SALES_DOMESTIC_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14981,SAF_AUTO_SALES_PLUS_FUEL_MIL_LOC_SA,name,SAF_AUTO_SALES_PLUS_FUEL_MIL_LOC_1_SA,,,,,,,,,,

TRUE,TRUE,t_14982,TUR_RSALES_NOM_INDEX_SWDA,name,TUR_RSALES_NOM_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14983,TUR_AUTO_SALES_UNITS_SA,name,TUR_AUTO_SALES_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14984,TUR_REGISTERED_AUTOS_UNITS_NSA,name,TUR_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14985,USA_RSALES_NOM_EX_AUTO_PLUS_PARTS_MIL_SA,name,USA_RSALES_NOM_EX_AUTO_PLUS_PARTS_MIL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14986,USA_AUTO_SALES_PLUS_PARTS_MIL_SA,name,USA_AUTO_SALES_PLUS_PARTS_MIL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14987,USA_RSALES_NOM_PLUS_FOOD_SERVICES_MIL_SA,name,USA_RSALES_NOM_PLUS_FOOD_SERVICES_MIL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14988,USA_RSALES_NOM_EX_AUTO_PARTS_FUELS_MIL_SA,name,USA_RSALES_NOM_EX_AUTO_PARTS_FUELS_MIL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14989,USA_RSALES_NOM_EX_AUTO_FUELS_MIL_SA,name,USA_RSALES_NOM_EX_AUTO_FUELS_MIL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14990,EUR_RSALES_NOM_EX_AUTO_FUELS_INDEX_SWDA,name,EUR_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14991,GBR_RSALES_NOM_EX_FUEL_THOUS_LOC_NSA,name,GBR_RSALES_NOM_EX_FUEL_THOUS_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14992,GBR_RSALES_REAL_EX_FUEL_THOUS_LOC_SA,name,GBR_RSALES_REAL_EX_FUEL_THOUS_LOC_1_SA,,,,,,,,,,

TRUE,TRUE,t_14993,GBR_REGISTERED_AUTOS_UNITS_SA,seasonaladjustx13,GBR_REGISTERED_AUTOS_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14994,DEU_AUTO_SALES_PLUS_PARTS_INDEX_SWDA,name,DEU_AUTO_SALES_PLUS_PARTS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14995,DEU_RSALES_REAL_EX_AUTO_FUELS_INDEX_SWDA,name,DEU_RSALES_REAL_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14996,DEU_RSALES_NOM_EX_AUTO_FUELS_INDEX_SWDA,name,DEU_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SWDA,,,,,,,,,,

TRUE,TRUE,t_14997,FRA_AUTO_SALES_INDEX_SWDA,name,FRA_AUTO_SALES_INDEX_1_SWDA,,,,,,,,,,

